Place,County,StateCode,Population,ViolentCrime,PropertyCrime,SocietalCrime
rising_sun-lebanon,kent,de,186946,1148,1965,1177
riverview,kent,de,186946,1148,1965,1177
rodney_village,kent,de,186946,1148,1965,1177
seaford,sussex,de,8526,454,917,356
selbyville,sussex,de,3104,83,95,40
slaughter_beach,sussex,de,255956,2461,4420,2178
smyrna,kent,de,13361,459,611,355
south_bethany,sussex,de,490,2,6,0
st._georges,new_castle,de,575494,3158,7919,1775
townsend,new_castle,de,575494,3158,7919,1775
viola,kent,de,186946,1148,1965,1177
wilmington,new_castle,de,70625,2159,4755,1237
wilmington_manor,new_castle,de,575494,3158,7919,1775
woodside,kent,de,186946,1148,1965,1177
woodside_east,kent,de,186946,1148,1965,1177
wyoming,kent,de,1906,40,40,2
acacia_villas,palm_beach,fl,,,,
alachua,alachua,fl,,,,
alafaya,orange,fl,,,,
alford,jackson,fl,48211,21532,34467,8443
allentown,santa_rosa,fl,,,,
altamonte_springs,seminole,fl,,,,
altha,calhoun,fl,,,,
altoona,lake,fl,,,,
alturas,polk,fl,,,,
alva,lee,fl,,,,
andrews,levy,fl,,,,
anna_maria,manatee,fl,,,,
apalachicola,franklin,fl,,,,
apollo_beach,hillsborough,fl,,,,
apopka,orange,fl,,,,
arcadia,desoto,fl,,,,
archer,alachua,fl,,,,
aripeka,pasco,fl,,,,
asbury_lake,clay,fl,,,,
astatula,lake,fl,,,,
astor,lake,fl,,,,
atlantic_beach,duval,fl,13189,80,326,205
atlantis,palm_beach,fl,,,,
auburndale,polk,fl,,,,
aucilla,jefferson,fl,,,,
avalon,santa_rosa,fl,,,,
aventura,miami-dade,fl,38484,295,1964,66
avon_park,highlands,fl,,,,
azalea_park,orange,fl,,,,
babson_park,polk,fl,,,,
bagdad,santa_rosa,fl,,,,
bal_harbour,miami-dade,fl,2673837,12955,36580,3565
baldwin,duval,fl,1016536,1669,215,157
balm,hillsborough,fl,,,,
bardmoor,pinellas,fl,961739,649,909,395
bartow,polk,fl,,,,
bascom,jackson,fl,48211,21532,34467,8443
bay_harbor_islands,miami-dade,fl,2673837,12955,36580,3565
bay_hill,orange,fl,,,,
bay_lake,orange,fl,,,,
bay_pines,pinellas,fl,961739,649,909,395
bayonet_point,pasco,fl,,,,
bayshore_gardens,manatee,fl,,,,
beacon_square,pasco,fl,,,,
bear_creek,pinellas,fl,961739,649,909,395
bee_ridge,sarasota,fl,462286,1856,4575,1104
bell,gilchrist,fl,,,,
bellair-meadowbrook_terrace,clay,fl,,,,
belle_glade,palm_beach,fl,,,,
belle_isle,orange,fl,,,,
belleair,pinellas,fl,961739,649,909,395
belleair_beach,pinellas,fl,961739,649,909,395
belleair_bluffs,pinellas,fl,961739,649,909,395
belleair_shore,pinellas,fl,961739,649,909,395
belleview,marion,fl,396415,3001,1969,169
bellview,escambia,fl,,,,
berrydale,santa_rosa,fl,,,,
beverly_beach,flagler,fl,,,,
beverly_hills,citrus,fl,,,,
big_coppitt_key,monroe,fl,81708,546,557,446
big_pine_key,monroe,fl,81708,546,557,446
biscayne_park,miami-dade,fl,2673837,12955,36580,3565
bithlo,orange,fl,,,,
black_diamond,citrus,fl,,,,
black_hammock,seminole,fl,,,,
bloomingdale,hillsborough,fl,,,,
blountstown,calhoun,fl,,,,
boca_raton,palm_beach,fl,,,,
bokeelia,lee,fl,,,,
bonifay,holmes,fl,,,,
bonita_springs,lee,fl,,,,
boulevard_gardens,broward,fl,,,,
bowling_green,hardee,fl,,,,
boynton_beach,palm_beach,fl,,,,
bradenton,manatee,fl,56316,1105,1607,470
bradenton_beach,manatee,fl,,,,
bradley_junction,polk,fl,,,,
brandon,hillsborough,fl,,,,
branford,suwannee,fl,,,,
brent,escambia,fl,,,,
briny_breezes,palm_beach,fl,,,,
bristol,liberty,fl,,,,
broadview_park,broward,fl,,,,
bronson,levy,fl,,,,
brooker,bradford,fl,,,,
brookridge,hernando,fl,206896,2371,3127,1150
brooksville,hernando,fl,9299,258,425,105
brownsdale,santa_rosa,fl,,,,
brownsville,miami-dade,fl,2673837,12955,36580,3565
buckhead_ridge,glades,fl,,,,
buckingham,lee,fl,,,,
buenaventura_lakes,osceola,fl,,,,
bunnell,flagler,fl,,,,
burnt_store_marina,lee,fl,,,,
bushnell,sumter,fl,,,,
butler_beach,st._johns,fl,306841,176,877,315
cabana_colony,palm_beach,fl,,,,
callahan,nassau,fl,,,,
callaway,bay,fl,,,,
campbell,osceola,fl,,,,
campbellton,jackson,fl,48211,21532,34467,8443
canal_point,palm_beach,fl,,,,
cape_canaveral,brevard,fl,,,,
cape_coral,lee,fl,,,,
captiva,lee,fl,,,,
carrabelle,franklin,fl,,,,
carrollwood,hillsborough,fl,,,,
caryville,washington,fl,,,,
casselberry,seminole,fl,,,,
cedar_grove,bay,fl,,,,
cedar_key,levy,fl,,,,
celebration,osceola,fl,,,,
center_hill,sumter,fl,,,,
century,escambia,fl,,,,
charleston_park,lee,fl,,,,
charlotte_harbor,charlotte,fl,202661,1180,1673,1594
charlotte_park,charlotte,fl,202661,1180,1673,1594
chattahoochee,gadsden,fl,,,,
cheval,hillsborough,fl,,,,
chiefland,levy,fl,,,,
chipley,washington,fl,,,,
chokoloskee,collier,fl,397994,3416,4777,1621
christmas,orange,fl,,,,
chuluota,seminole,fl,,,,
chumuckla,santa_rosa,fl,,,,
cinco_bayou,okaloosa,fl,,,,
citrus_hills,citrus,fl,,,,
citrus_park,hillsborough,fl,,,,
citrus_springs,citrus,fl,,,,
clarcona,orange,fl,,,,
clearwater,pinellas,fl,961739,649,909,395
clermont,lake,fl,,,,
cleveland,charlotte,fl,202661,1180,1673,1594
clewiston,hendry,fl,,,,
cloud_lake,palm_beach,fl,,,,
cobbtown,santa_rosa,fl,,,,
cocoa,brevard,fl,,,,
cocoa_beach,brevard,fl,,,,
cocoa_west,brevard,fl,,,,
coconut_creek,broward,fl,,,,
coleman,sumter,fl,,,,
combee_settlement,polk,fl,,,,
connerton,pasco,fl,,,,
conway,orange,fl,,,,
cooper_city,broward,fl,,,,
coral_gables,miami-dade,fl,2673837,12955,36580,3565
coral_springs,broward,fl,,,,
coral_terrace,miami-dade,fl,2673837,12955,36580,3565
cortez,manatee,fl,,,,
cottondale,jackson,fl,48211,21532,34467,8443
country_club,miami-dade,fl,2673837,12955,36580,3565
country_walk,miami-dade,fl,2673837,12955,36580,3565
crawfordville,wakulla,fl,,,,
crescent_beach,st._johns,fl,306841,176,877,315
crescent_city,putnam,fl,1681,17,45,28
crestview,okaloosa,fl,,,,
crooked_lake_park,polk,fl,,,,
cross_city,dixie,fl,,,,
crystal_lake,polk,fl,,,,
crystal_river,citrus,fl,,,,
crystal_springs,pasco,fl,,,,
cudjoe_key,monroe,fl,81708,546,557,446
cutler_bay,miami-dade,fl,2673837,12955,36580,3565
cypress_gardens,polk,fl,,,,
cypress_lake,lee,fl,,,,
cypress_quarters,okeechobee,fl,,,,
dade_city,pasco,fl,,,,
dade_city_north,pasco,fl,,,,
dania_beach,broward,fl,,,,
davenport,polk,fl,,,,
davie,broward,fl,,,,
day,lafayette,fl,,,,
daytona_beach,volusia,fl,,,,
daytona_beach_shores,volusia,fl,,,,
de_leon_springs,volusia,fl,,,,
debary,volusia,fl,,,,
deerfield_beach,broward,fl,,,,
defuniak_springs,walton,fl,83304,627,343,409
deland,volusia,fl,,,,
deland_southwest,volusia,fl,,,,
delray_beach,palm_beach,fl,,,,
deltona,volusia,fl,,,,
desoto_lakes,sarasota,fl,462286,1856,4575,1104
destin,okaloosa,fl,,,,
dickerson_city,santa_rosa,fl,,,,
dixonville,santa_rosa,fl,,,,
doctor_phillips,orange,fl,,,,
doral,miami-dade,fl,75838,575,2088,186
dover,hillsborough,fl,,,,
duck_key,monroe,fl,81708,546,557,446
dundee,polk,fl,,,,
dunedin,pinellas,fl,961739,649,909,395
dunnellon,marion,fl,396415,3001,1969,169
eagle_lake,polk,fl,,,,
east_bronson,levy,fl,,,,
east_lake,pinellas,fl,961739,649,909,395
east_lake-orient_park,hillsborough,fl,,,,
east_milton,santa_rosa,fl,,,,
east_palatka,putnam,fl,74731,472,530,536
east_williston,levy,fl,,,,
eastpoint,franklin,fl,,,,
eatonville,orange,fl,,,,
ebro,washington,fl,,,,
edgewater,volusia,fl,,,,
edgewood,orange,fl,,,,
eglin_afb,okaloosa,fl,,,,
egypt_lake-leto,hillsborough,fl,,,,
el_portal,miami-dade,fl,2673837,12955,36580,3565
elfers,pasco,fl,,,,
ellenton,manatee,fl,,,,
englewood,sarasota,fl,462286,1856,4575,1104
ensley,escambia,fl,,,,
estero,lee,fl,,,,
esto,holmes,fl,,,,
eustis,lake,fl,,,,
everglades,collier,fl,397994,3416,4777,1621
fairview_shores,orange,fl,,,,
fanning_springs,levy,fl,,,,
feather_sound,pinellas,fl,961739,649,909,395
fellsmere,indian_river,fl,,,,
fern_park,seminole,fl,,,,
fernandina_beach,nassau,fl,,,,
ferndale,lake,fl,,,,
ferry_pass,escambia,fl,,,,
fidelis,santa_rosa,fl,,,,
fish_hawk,hillsborough,fl,,,,
fisher_island,miami-dade,fl,2673837,12955,36580,3565
five_points,columbia,fl,,,,
flagler_beach,flagler,fl,,,,
flagler_estates,st._johns,fl,306841,176,877,315
fleming_island,clay,fl,,,,
floral_city,citrus,fl,,,,
florida_city,miami-dade,fl,2673837,12955,36580,3565
florida_ridge,indian_river,fl,,,,
floridatown,santa_rosa,fl,,,,
forest_city,seminole,fl,,,,
fort_denaud,hendry,fl,,,,
fort_green,hardee,fl,,,,
fort_green_springs,hardee,fl,,,,
fort_lauderdale,broward,fl,,,,
fort_meade,polk,fl,,,,
fort_myers,lee,fl,,,,
fort_myers_beach,lee,fl,,,,
fort_myers_shores,lee,fl,,,,
fort_pierce,st._lucie,fl,,,,
fort_pierce_north,st._lucie,fl,,,,
fort_pierce_south,st._lucie,fl,,,,
fort_walton_beach,okaloosa,fl,,,,
fort_white,columbia,fl,,,,
fountainebleau,miami-dade,fl,2673837,12955,36580,3565
franklin_park,broward,fl,,,,
freeport,walton,fl,83304,627,343,409
frostproof,polk,fl,,,,
fruit_cove,st._johns,fl,306841,176,877,315
fruitland_park,lake,fl,,,,
fruitville,sarasota,fl,462286,1856,4575,1104
fuller_heights,polk,fl,,,,
fussels_corner,polk,fl,,,,
gainesville,alachua,fl,,,,
garcon_point,santa_rosa,fl,,,,
garden_grove,hernando,fl,206896,2371,3127,1150
gardner,hardee,fl,,,,
gateway,lee,fl,,,,
geneva,seminole,fl,,,,
gibsonton,hillsborough,fl,,,,
gifford,indian_river,fl,,,,
gladeview,miami-dade,fl,2673837,12955,36580,3565
glen_ridge,palm_beach,fl,,,,
glen_st._mary,baker,fl,,,,
glencoe,volusia,fl,,,,
glenvar_heights,miami-dade,fl,2673837,12955,36580,3565
golden_beach,miami-dade,fl,2673837,12955,36580,3565
golden_gate,collier,fl,397994,3416,4777,1621
golden_glades,miami-dade,fl,2673837,12955,36580,3565
golf,palm_beach,fl,,,,
gonzalez,escambia,fl,,,,
goodland,collier,fl,397994,3416,4777,1621
gotha,orange,fl,,,,
goulding,escambia,fl,,,,
goulds,miami-dade,fl,2673837,12955,36580,3565
graceville,jackson,fl,48211,21532,34467,8443
grand_ridge,jackson,fl,48211,21532,34467,8443
grant-valkaria,brevard,fl,,,,
green_cove_springs,clay,fl,,,,
greenacres,palm_beach,fl,,,,
greenbriar,pinellas,fl,961739,649,909,395
greensboro,gadsden,fl,,,,
greenville,madison,fl,,,,
greenwood,jackson,fl,48211,21532,34467,8443
grenelefe,polk,fl,,,,
gretna,gadsden,fl,,,,
grove_city,charlotte,fl,202661,1180,1673,1594
groveland,lake,fl,,,,
gulf_breeze,santa_rosa,fl,,,,
gulf_stream,palm_beach,fl,,,,
gulfport,pinellas,fl,961739,649,909,395
gun_club_estates,palm_beach,fl,,,,
haines_city,polk,fl,,,,
hallandale_beach,broward,fl,,,,
hampton,bradford,fl,,,,
harbor_bluffs,pinellas,fl,961739,649,909,395
harbour_heights,charlotte,fl,202661,1180,1673,1594
harlem,hendry,fl,,,,
harlem_heights,lee,fl,,,,
harold,santa_rosa,fl,,,,
hastings,st._johns,fl,306841,176,877,315
havana,gadsden,fl,,,,
haverhill,palm_beach,fl,,,,
hawthorne,alachua,fl,,,,
heathrow,seminole,fl,,,,
heritage_pines,pasco,fl,,,,
hernando,citrus,fl,0,2371,3127,1150
hernando_beach,hernando,fl,206896,2371,3127,1150
hialeah,miami-dade,fl,2673837,12955,36580,3565
hialeah_gardens,miami-dade,fl,2673837,12955,36580,3565
high_point,hernando,fl,206896,2371,3127,1150
high_springs,alachua,fl,,,,
highland_beach,palm_beach,fl,,,,
highland_city,polk,fl,,,,
highland_park,polk,fl,,,,
hill_'n_dale,hernando,fl,206896,2371,3127,1150
hillcrest_heights,polk,fl,,,,
hilliard,nassau,fl,,,,
hillsboro_beach,broward,fl,,,,
hillsboro_pines,broward,fl,,,,
hobe_sound,martin,fl,,,,
holden_heights,orange,fl,,,,
holiday,pasco,fl,,,,
holley,santa_rosa,fl,,,,
holly_hill,volusia,fl,,,,
hollywood,broward,fl,,,,
holmes_beach,manatee,fl,,,,
homeland,polk,fl,,,,
homestead,miami-dade,fl,2673837,12955,36580,3565
homestead_base,miami-dade,fl,2673837,12955,36580,3565
homosassa,citrus,fl,,,,
homosassa_springs,citrus,fl,,,,
horizon_west,orange,fl,,,,
horseshoe_beach,dixie,fl,,,,
hosford,liberty,fl,,,,
howey-in-the-hills,lake,fl,,,,
hudson,pasco,fl,,,,
hunters_creek,orange,fl,,,,
hutchinson_island_south,st._lucie,fl,,,,
hypoluxo,palm_beach,fl,,,,
immokalee,collier,fl,397994,3416,4777,1621
indialantic,brevard,fl,,,,
indian_creek,miami-dade,fl,2673837,12955,36580,3565
indian_harbour_beach,brevard,fl,,,,
indian_river_estates,st._lucie,fl,,,,
indian_river_shores,indian_river,fl,,,,
indian_rocks_beach,pinellas,fl,961739,649,909,395
indian_shores,pinellas,fl,961739,649,909,395
indiantown,martin,fl,,,,
inglis,levy,fl,,,,
interlachen,putnam,fl,74731,472,530,536
inverness,citrus,fl,,,,
inverness_highlands_north,citrus,fl,,,,
inverness_highlands_south,citrus,fl,,,,
inwood,polk,fl,,,,
iona,lee,fl,,,,
island_walk,collier,fl,397994,3416,4777,1621
istachatta,hernando,fl,206896,2371,3127,1150
ives_estates,miami-dade,fl,2673837,12955,36580,3565
jacksonville,duval,fl,0,21532,34467,8443
jacksonville_beach,duval,fl,1016536,1669,215,157
jacob_city,jackson,fl,48211,21532,34467,8443
jan_phyl_village,polk,fl,,,,
jasmine_estates,pasco,fl,,,,
jasper,hamilton,fl,13217,117,239,35
jay,santa_rosa,fl,,,,
jennings,hamilton,fl,13217,117,239,35
jensen_beach,martin,fl,,,,
june_park,brevard,fl,,,,
juno_beach,palm_beach,fl,,,,
juno_ridge,palm_beach,fl,,,,
jupiter,palm_beach,fl,,,,
jupiter_farms,palm_beach,fl,,,,
jupiter_inlet_colony,palm_beach,fl,,,,
jupiter_island,martin,fl,,,,
kathleen,polk,fl,,,,
kendale_lakes,miami-dade,fl,2673837,12955,36580,3565
kendall,miami-dade,fl,2673837,12955,36580,3565
kendall_west,miami-dade,fl,2673837,12955,36580,3565
kenneth_city,pinellas,fl,961739,649,909,395
kensington_park,sarasota,fl,462286,1856,4575,1104
kenwood_estates,palm_beach,fl,,,,
key_biscayne,miami-dade,fl,2673837,12955,36580,3565
key_colony_beach,monroe,fl,81708,546,557,446
key_largo,monroe,fl,81708,546,557,446
key_vista,pasco,fl,,,,
key_west,monroe,fl,81708,546,557,446
keystone,hillsborough,fl,,,,
keystone_heights,clay,fl,,,,
kissimmee,osceola,fl,79715,1763,2214,387
la_crosse,alachua,fl,,,,
labelle,hendry,fl,,,,
lacoochee,pasco,fl,,,,
lady_lake,lake,fl,,,,
laguna_beach,bay,fl,,,,
lake_alfred,polk,fl,,,,
lake_belvedere_estates,palm_beach,fl,,,,
lake_buena_vista,orange,fl,,,,
lake_butler_cdp,orange,fl,,,,
lake_city,columbia,fl,,,,
lake_clarke_shores,palm_beach,fl,,,,
lake_hamilton,polk,fl,,,,
lake_hart,orange,fl,,,,
lake_helen,volusia,fl,,,,
lake_kathryn,lake,fl,,,,
lake_lorraine,okaloosa,fl,,,,
lake_mack-forest_hills,lake,fl,,,,
lake_magdalene,hillsborough,fl,,,,
lake_mary,seminole,fl,,,,
lake_mary_jane,orange,fl,,,,
lake_mystic,liberty,fl,,,,
lake_panasoffkee,sumter,fl,,,,
lake_park,palm_beach,fl,,,,
lake_placid,highlands,fl,,,,
lake_sarasota,sarasota,fl,462286,1856,4575,1104
lake_wales,polk,fl,,,,
lakeland,polk,fl,,,,
lakeland_highlands,polk,fl,,,,
lakeside,clay,fl,,,,
lakewood_park,st._lucie,fl,,,,
lamont,jefferson,fl,,,,
land_o'_lakes,pasco,fl,,,,
lantana,palm_beach,fl,,,,
largo,pinellas,fl,82167,1529,2811,502
lauderdale_lakes,broward,fl,,,,
lauderdale-by-the-sea,broward,fl,,,,
lauderhill,broward,fl,,,,
laurel,sarasota,fl,462286,1856,4575,1104
laurel_hill,okaloosa,fl,,,,
lawtey,bradford,fl,,,,
layton,monroe,fl,81708,546,557,446
lazy_lake,broward,fl,,,,
lealman,pinellas,fl,961739,649,909,395
lecanto,citrus,fl,,,,
lee,madison,fl,,,,
leesburg,lake,fl,,,,
lehigh_acres,lee,fl,,,,
leisure_city,miami-dade,fl,2673837,12955,36580,3565
lely,collier,fl,397994,3416,4777,1621
lely_resort,collier,fl,397994,3416,4777,1621
lemon_grove,hardee,fl,,,,
lighthouse_point,broward,fl,,,,
limestone,hardee,fl,,,,
limestone_creek,palm_beach,fl,,,,
lisbon,lake,fl,,,,
live_oak,suwannee,fl,,,,
lloyd,jefferson,fl,,,,
lochmoor_waterway_estates,lee,fl,,,,
lockhart,orange,fl,,,,
longwood,seminole,fl,,,,
loughman,polk,fl,,,,
lower_grand_lagoon,bay,fl,,,,
loxahatchee_groves,palm_beach,fl,,,,
lutz,hillsborough,fl,,,,
lynn_haven,bay,fl,,,,
macclenny,baker,fl,,,,
madeira_beach,pinellas,fl,961739,649,909,395
madison,madison,fl,,,,
maitland,orange,fl,,,,
malabar,brevard,fl,,,,
malone,jackson,fl,48211,21532,34467,8443
manalapan,palm_beach,fl,,,,
manasota_key,charlotte,fl,202661,1180,1673,1594
manatee_road,levy,fl,,,,
mango,hillsborough,fl,,,,
mangonia_park,palm_beach,fl,,,,
marathon,monroe,fl,81708,546,557,446
marco_island,collier,fl,16137,81,125,20
margate,broward,fl,,,,
marianna,jackson,fl,48211,21532,34467,8443
marineland,flagler,fl,,,,
mary_esther,okaloosa,fl,,,,
masaryktown,hernando,fl,206896,2371,3127,1150
mascotte,lake,fl,,,,
matlacha,lee,fl,,,,
matlacha_isles-matlacha_shores,lee,fl,,,,
mayo,lafayette,fl,,,,
mcgregor,lee,fl,,,,
mcintosh,marion,fl,396415,3001,1969,169
meadow_oaks,pasco,fl,,,,
meadow_woods,orange,fl,,,,
medley,miami-dade,fl,2673837,12955,36580,3565
medulla,polk,fl,,,,
melbourne,brevard,fl,,,,
melbourne_beach,brevard,fl,,,,
melbourne_village,brevard,fl,,,,
memphis,manatee,fl,,,,
merritt_island,brevard,fl,,,,
mexico_beach,bay,fl,,,,
miami,miami-dade,fl,11597,199,452,69
miami_beach,miami-dade,fl,2673837,12955,36580,3565
miami_gardens,miami-dade,fl,2673837,12955,36580,3565
miami_lakes,miami-dade,fl,2673837,12955,36580,3565
miami_shores,miami-dade,fl,2673837,12955,36580,3565
miami_springs,miami-dade,fl,2673837,12955,36580,3565
micanopy,alachua,fl,,,,
micco,brevard,fl,,,,
middleburg,clay,fl,,,,
midway,gadsden,fl,,,,
midway_(santa_rosa_cnty),santa_rosa,fl,,,,
midway_(seminole_cnty),seminole,fl,,,,
milton,santa_rosa,fl,,,,
mims,brevard,fl,,,,
minneola,lake,fl,,,,
miramar,broward,fl,,,,
miramar_beach,walton,fl,83304,627,343,409
molino,escambia,fl,,,,
monticello,jefferson,fl,,,,
montura,hendry,fl,,,,
montverde,lake,fl,,,,
moon_lake,pasco,fl,,,,
moore_haven,glades,fl,,,,
morriston,levy,fl,,,,
mount_carmel,santa_rosa,fl,,,,
mount_dora,lake,fl,,,,
mount_plymouth,lake,fl,,,,
mulat,santa_rosa,fl,,,,
mulberry,polk,fl,,,,
munson,santa_rosa,fl,,,,
myrtle_grove,escambia,fl,,,,
naples,collier,fl,397994,3416,4777,1621
naples_manor,collier,fl,397994,3416,4777,1621
naples_park,collier,fl,397994,3416,4777,1621
naranja,miami-dade,fl,2673837,12955,36580,3565
nassau_village-ratliff,nassau,fl,,,,
navarre,santa_rosa,fl,,,,
navarre_beach,santa_rosa,fl,,,,
neptune_beach,duval,fl,6971,36,148,54
new_port_richey,pasco,fl,,,,
new_port_richey_east,pasco,fl,,,,
new_smyrna_beach,volusia,fl,,,,
newberry,alachua,fl,,,,
niceville,okaloosa,fl,,,,
nobleton,hernando,fl,206896,2371,3127,1150
nocatee,st._johns,fl,306841,176,877,315
nokomis,sarasota,fl,462286,1856,4575,1104
noma,holmes,fl,,,,
north_bay_village,miami-dade,fl,2673837,12955,36580,3565
north_brooksville,hernando,fl,206896,2371,3127,1150
north_deland,volusia,fl,,,,
north_fort_myers,lee,fl,,,,
north_key_largo,monroe,fl,81708,546,557,446
north_lauderdale,broward,fl,,,,
north_miami,miami-dade,fl,2673837,12955,36580,3565
north_miami_beach,miami-dade,fl,2673837,12955,36580,3565
north_palm_beach,palm_beach,fl,,,,
north_port,sarasota,fl,462286,1856,4575,1104
north_redington_beach,pinellas,fl,961739,649,909,395
north_river_shores,martin,fl,,,,
north_sarasota,sarasota,fl,462286,1856,4575,1104
north_weeki_wachee,hernando,fl,206896,2371,3127,1150
northdale,hillsborough,fl,,,,
oak_hill,volusia,fl,,,,
oak_ridge,orange,fl,,,,
oakland,orange,fl,,,,
oakland_park,broward,fl,,,,
oakleaf_plantation,clay,fl,,,,
ocala,marion,fl,396415,3001,1969,169
ocean_city,okaloosa,fl,,,,
ocean_ridge,palm_beach,fl,,,,
ocoee,orange,fl,,,,
odessa,pasco,fl,,,,
ojus,miami-dade,fl,2673837,12955,36580,3565
okahumpka,lake,fl,,,,
okeechobee,okeechobee,fl,,,,
oldsmar,pinellas,fl,961739,649,909,395
olga,lee,fl,,,,
olympia_heights,miami-dade,fl,2673837,12955,36580,3565
ona,hardee,fl,,,,
opa-locka,miami-dade,fl,2673837,12955,36580,3565
orange_city,volusia,fl,,,,
orange_park,clay,fl,,,,
orangetree,collier,fl,397994,3416,4777,1621
orchid,indian_river,fl,,,,
oriole_beach,santa_rosa,fl,,,,
orlando,orange,fl,,,,
orlovista,orange,fl,,,,
ormond_beach,volusia,fl,,,,
ormond-by-the-sea,volusia,fl,,,,
osprey,sarasota,fl,462286,1856,4575,1104
otter_creek,levy,fl,,,,
oviedo,seminole,fl,,,,
pace,santa_rosa,fl,,,,
page_park,lee,fl,,,,
pahokee,palm_beach,fl,,,,
paisley,lake,fl,,,,
palatka,putnam,fl,10599,216,419,260
palm_bay,brevard,fl,,,,
palm_beach,palm_beach,fl,,,,
palm_beach_gardens,palm_beach,fl,,,,
palm_beach_shores,palm_beach,fl,,,,
palm_city,martin,fl,,,,
palm_coast,flagler,fl,,,,
palm_harbor,pinellas,fl,961739,649,909,395
palm_river-clair_mel,hillsborough,fl,,,,
palm_shores,brevard,fl,,,,
palm_springs,palm_beach,fl,,,,
palm_springs_north,miami-dade,fl,2673837,12955,36580,3565
palm_valley,st._johns,fl,306841,176,877,315
palmetto,manatee,fl,,,,
palmetto_bay,miami-dade,fl,2673837,12955,36580,3565
palmetto_estates,miami-dade,fl,2673837,12955,36580,3565
palmona_park,lee,fl,,,,
panacea,wakulla,fl,,,,
panama_city,bay,fl,,,,
panama_city_beach,bay,fl,,,,
paradise_heights,orange,fl,,,,
parker,bay,fl,,,,
parkland,broward,fl,,,,
pasadena_hills,pasco,fl,,,,
patrick_afb,brevard,fl,,,,
paxton,walton,fl,83304,627,343,409
pea_ridge,santa_rosa,fl,,,,
pebble_creek,hillsborough,fl,,,,
pelican_bay,collier,fl,397994,3416,4777,1621
pembroke_park,broward,fl,,,,
pembroke_pines,broward,fl,,,,
penney_farms,clay,fl,,,,
pensacola,escambia,fl,,,,
perry,taylor,fl,,,,
pierson,volusia,fl,,,,
pine_air,palm_beach,fl,,,,
pine_castle,orange,fl,,,,
pine_hills,orange,fl,,,,
pine_island,hernando,fl,206896,2371,3127,1150
pine_island_center,lee,fl,,,,
pine_lakes,lake,fl,,,,
pine_level,santa_rosa,fl,,,,
pine_manor,lee,fl,,,,
pine_ridge_(citrus_cnty),citrus,fl,,,,
pinecrest,miami-dade,fl,2673837,12955,36580,3565
pineland,lee,fl,,,,
pinellas_park,pinellas,fl,961739,649,909,395
pinewood,miami-dade,fl,2673837,12955,36580,3565
pioneer,hendry,fl,,,,
pittman,lake,fl,,,,
plant_city,hillsborough,fl,,,,
plantation,broward,fl,,,,
plantation_island,collier,fl,397994,3416,4777,1621
point_baker,santa_rosa,fl,,,,
polk_city,polk,fl,,,,
pomona_park,putnam,fl,74731,472,530,536
pompano_beach,broward,fl,,,,
ponce_de_leon,holmes,fl,,,,
ponce_inlet,volusia,fl,,,,
port_charlotte,charlotte,fl,202661,1180,1673,1594
port_labelle,hendry,fl,,,,
port_orange,volusia,fl,,,,
port_richey,pasco,fl,,,,
port_salerno,martin,fl,,,,
port_st._joe,gulf,fl,,,,
port_st._john,brevard,fl,,,,
port_st._lucie,st._lucie,fl,,,,
pretty_bayou,bay,fl,,,,
princeton,miami-dade,fl,2673837,12955,36580,3565
progress_village,hillsborough,fl,,,,
punta_gorda,charlotte,fl,202661,1180,1673,1594
punta_rassa,lee,fl,,,,
quail_ridge,pasco,fl,,,,
quincy,gadsden,fl,,,,
raiford,union,fl,,,,
raleigh,levy,fl,,,,
reddick,marion,fl,396415,3001,1969,169
redington_beach,pinellas,fl,961739,649,909,395
redington_shores,pinellas,fl,961739,649,909,395
richmond_heights,miami-dade,fl,2673837,12955,36580,3565
richmond_west,miami-dade,fl,2673837,12955,36580,3565
ridge_manor,hernando,fl,206896,2371,3127,1150
ridge_wood_heights,sarasota,fl,462286,1856,4575,1104
ridgecrest,pinellas,fl,961739,649,909,395
rio,martin,fl,0,3001,1969,169
rio_pinar,orange,fl,,,,
river_park,st._lucie,fl,,,,
river_ridge,pasco,fl,,,,
riverview,hillsborough,fl,,,,
riviera_beach,palm_beach,fl,,,,
rockledge,brevard,fl,,,,
roeville,santa_rosa,fl,,,,
roosevelt_gardens,broward,fl,,,,
roseland,indian_river,fl,,,,
rotonda,charlotte,fl,202661,1180,1673,1594
royal_palm_beach,palm_beach,fl,,,,
royal_palm_estates,palm_beach,fl,,,,
ruskin,hillsborough,fl,,,,
safety_harbor,pinellas,fl,961739,649,909,395
samoset,manatee,fl,,,,
samsula-spruce_creek,volusia,fl,,,,
san_antonio,pasco,fl,,,,
san_carlos_park,lee,fl,,,,
san_castle,palm_beach,fl,,,,
sanford,seminole,fl,,,,
sanibel,lee,fl,,,,
sarasota,sarasota,fl,462286,1856,4575,1104
sarasota_springs,sarasota,fl,462286,1856,4575,1104
satellite_beach,brevard,fl,,,,
sawgrass,st._johns,fl,306841,176,877,315
schall_circle,palm_beach,fl,,,,
sea_ranch_lakes,broward,fl,,,,
sebastian,indian_river,fl,,,,
sebring,highlands,fl,,,,
seffner,hillsborough,fl,,,,
seminole,pinellas,fl,961739,649,909,395
seminole_manor,palm_beach,fl,,,,
seville,volusia,fl,,,,
sewall's_point,martin,fl,,,,
